wavenumber_cm1,normalized_observed,normalized_fitted,residual
1500.347,-1.2391844898773892,-2.8486327447416024,1.6094482548642133
1500.829,-1.2483908523714515,-2.703137744752356,1.4547468923809046
1501.311,-1.2524469741122428,-2.570320040664133,1.3178730665518903
1501.793,-1.2517043241614236,-2.4484785027442904,1.1967741785828667
1502.276,-1.246525891361605,-2.3361807548684754,1.0896548635068704
1502.758,-1.2372673888747159,-2.232293294525523,0.9950259056508071
1503.24,-1.2243054663849176,-2.1358021565933853,0.9114966902084678
1503.722,-1.208018942505658,-2.045865882598855,0.8378469400931969
1504.204,-1.1887935052470764,-1.9617661584074046,0.7729726531603283
1504.686,-1.1670217182940086,-1.8828861035654993,0.7158643852714908
1505.168,-1.1431030238462239,-1.8086929974024333,0.6655899735562094
1505.65,-1.1165525625427415,-1.738724418922832,0.6221718563800904
1506.133,-1.090659054175019,-1.6725496013250873,0.5818905471500684
1506.615,-1.0628616094130674,-1.6098696386282698,0.5470080292152024
1507.097,-1.0341622174637655,-1.5503466393607699,0.5161844218970044
1507.579,-1.0065332347834846,-1.4937059985385868,0.4871727637551022
1508.061,-0.9811572834707813,-1.439704272299503,0.4585469888287217
1508.543,-0.9560165843325105,-1.3881248928990015,0.4321083085664911
1509.025,-0.9342382010198297,-1.3387745718614021,0.40453637084157246
1509.507,-0.9121240327910067,-1.29148026571335,0.3793562329223432
1509.99,-0.8929305163418881,-1.2460565719575714,0.3531260556156832
1510.471,-0.8797319091147255,-1.202453701081146,0.3227217919664205
1510.954,-0.8646293025550332,-1.1604248028592126,0.29579550030417934
1511.436,-0.8520579668634162,-1.1199463984729028,0.2678884316094866
1511.918,-0.8417975844809688,-1.0808845751463994,0.2390869906654306
1512.4,-0.8271479864944864,-1.043145107689927,0.21599712119544057
1512.882,-0.8119838294204562,-1.0066421559441079,0.19465832652365167
1513.364,-0.7944832681840912,-0.9712973604001875,0.17681409221609634
1513.846,-0.7786017632584177,-0.937039052385517,0.1584372891270993
1514.328,-0.7621394248986899,-0.9038015622308657,0.1416621373321758
1514.811,-0.7457479908166696,-0.8714928919164721,0.1257449010998024
1515.293,-0.7252616313884287,-0.8401209538453874,0.11485932245695873
1515.775,-0.7064168345031043,-0.8096031028301196,0.10318626832701527
1516.257,-0.6867154945143253,-0.7798922635087016,0.09317676899437621
1516.739,-0.6676279137178813,-0.7509449534212627,0.08331703970338133
1517.221,-0.6506974244601761,-0.7227209524320815,0.07202352797190537
1517.703,-0.6310150972379731,-0.6951830079719233,0.06416791073395023
1518.185,-0.6114010561751968,-0.6682965716508596,0.05689551547566285
1518.667,-0.5942840823718244,-0.6420295634139283,0.047745481042103854
1519.15,-0.5736494252664539,-0.6163198120424124,0.04267038677595847
1519.632,-0.5588430499887307,-0.59120422535524,0.03236117536650929
1520.114,-0.5407919730299121,-0.5666246316858643,0.02583265865595219
1520.596,-0.5245823132776853,-0.5425569097765108,0.01797459649882549
1521.078,-0.5095923188445672,-0.5189785392682847,0.009386220423717506
1521.56,-0.4945920376122744,-0.4958684742083565,0.00127643659608212
1522.042,-0.4829001436456417,-0.4732070283416692,-0.009693115303972488
1522.524,-0.47729856139846943,-0.4509757709251706,-0.02632279047329883
1523.007,-0.47163094898311503,-0.4291250110739691,-0.04250593790914592
1523.489,-0.468705822284127,-0.4077034122402293,-0.06100241004389767
1523.971,-0.46556647715704597,-0.38666334158891374,-0.07890313556813222
1524.453,-0.46506328460557556,-0.36599052268228704,-0.09907276192328851
1524.935,-0.46652562872934783,-0.34567153692736485,-0.12085409180198298
1525.417,-0.47051840445870907,-0.32569376327090205,-0.14482464118780702
1525.899,-0.47536277415210265,-0.30604532288822195,-0.1693174512638807
1526.381,-0.47912007624491854,-0.2867150283884807,-0.19240504785643786
1526.864,-0.48355216089560715,-0.26766019566429256,-0.2158919652313146
1527.346,-0.48152035022945655,-0.24893522311610958,-0.23258512711334697
1527.828,-0.48139777758091,-0.23049853848046248,-0.25089923910044754
1528.31,-0.47979737512134185,-0.21234128843335592,-0.26745608668798593
1528.792,-0.4740626400908971,-0.19445511145963912,-0.279607528631258
1529.274,-0.46674830181420873,-0.17683210663717452,-0.2899161951770342
1529.756,-0.45351786038876934,-0.15946480474574865,-0.2940530556430207
1530.238,-0.439485303188202,-0.14234614149963204,-0.29713916168856996
1530.72,-0.42051942492265415,-0.12546943272451788,-0.29504999219813627
1531.203,-0.40210639397237463,-0.10879686881521339,-0.29330952515716124
1531.685,-0.38035357361208644,-0.09238551649370802,-0.2879680571183784
1532.167,-0.35621613838288396,-0.07619812810631858,-0.28001801027656537
1532.649,-0.332292353536395,-0.06022932510234742,-0.2720630284340476
1533.131,-0.30679712677735854,-0.04447400887944207,-0.26232311789791646
1533.613,-0.28498115503305965,-0.028927344682802923,-0.2560538103502567
1534.095,-0.2632847853234872,-0.013584746580337637,-0.24970003874314955
1534.577,-0.2419799058369555,0.0015581365709035136,-0.243538042407859
1535.06,-0.2221929137969648,0.01653607096913074,-0.23872898476609553
1535.542,-0.20200814883992976,0.03129158194656503,-0.2332997307864948
1536.024,-0.1840594394998693,0.04585914640122077,-0.22991858590109007
1536.506,-0.16313455901902876,0.060242299387392576,-0.22337685840642135
1536.988,-0.1417990326548166,0.07444439889824347,-0.21624343155306008
1537.47,-0.11879655454274521,0.08846863533372766,-0.20726518987647286
1537.952,-0.09218576419185051,0.10231804039048209,-0.1945038045823326
1538.434,-0.0669842217024051,0.115995495414533,-0.1829797171169381
1538.917,-0.04067664513291536,0.12953331704118554,-0.1702099621741009
1539.398,-0.014015054557099378,0.14284537565171063,-0.15686043020881
1539.881,0.011065502813141458,0.15605216277907175,-0.1449866599659303
1540.363,0.033854026361107466,0.16906773753386017,-0.13521371117275272
1540.845,0.050467726153027706,0.1819237701679493,-0.1314560440149216
1541.327,0.06624365180328742,0.19462238970038132,-0.1283787378970939
1541.809,0.07199626842420531,0.20716562105853537,-0.13516935263433005
1542.291,0.07303790014932146,0.21955539027298776,-0.1465174901236663
1542.773,0.06831523190306198,0.23179352938720493,-0.16347829748414294
1543.255,0.05469413706577326,0.24388178109921987,-0.18918764403344662
1543.738,0.03990185850100052,0.2558497932767421,-0.2159479347757416
1544.22,0.01947990240688209,0.26764298909611345,-0.24816308668923137
1544.702,-0.0033905152088151438,0.2792910297611315,-0.2826815449699467
1545.184,-0.026524919387453084,0.2907953422703884,-0.3173202616578415
1545.666,-0.052646955900985455,0.3021572840342131,-0.35480423993519855
1546.148,-0.07396879217270627,0.31337814623147964,-0.3873469384041859
1546.63,-0.09625021609730577,0.32445915699636835,-0.4207093730936741
1547.112,-0.11345361177116169,0.33540148444422124,-0.44885509621538294
1547.594,-0.12793897621981548,0.34620623954709273,-0.4741452157669082
1548.077,-0.14810887570534853,0.3569008187291981,-0.5050096944345466
1548.559,-0.16196138879853675,0.36743335186003195,-0.5293947406585687
1549.041,-0.17631574212836376,0.377831327136414,-0.5541470692647777
1549.523,-0.18964865649207446,0.3880956530251185,-0.577744309517193
1550.005,-0.20007708910556038,0.39822719325533723,-0.5983042823608976
1550.487,-0.21002245987588158,0.40822676895654875,-0.6182492288324304
1550.969,-0.21892959963792602,0.4180951606966758,-0.6370247603346018
1551.451,-0.22866979112360747,0.42783311042596994,-0.6565029015495774
1551.934,-0.23689293230344374,0.4374660408217183,-0.674358973125162
1552.416,-0.24427354349884164,0.4469449748848845,-0.6912185183837262
1552.898,-0.25104109721475426,0.4562954772230646,-0.7073365744378188
1553.38,-0.25305378513552024,0.4655181530770475,-0.7185719382125677
1553.862,-0.25552331956673185,0.4746135775473335,-0.7301368971140654
1554.344,-0.25525664266464604,0.4835822970712383,-0.7388389397358843
1554.826,-0.2494905821670608,0.49242483083559857,-0.7419154130026594
1555.308,-0.24351357882895994,0.50114167212926,-0.7446552509582199
1555.791,-0.22747814682166256,0.5097562550555431,-0.7372344018772057
1556.273,-0.21032733180422242,0.5182228667680164,-0.7285501985722389
1556.755,-0.18709238453791954,0.5265651214071227,-0.7136575059450423
1557.237,-0.1605031393390628,0.5347834211104425,-0.6952865604495053
1557.719,-0.13770123121840175,0.5428781480698383,-0.68057937928824
1558.201,-0.10830523107454311,0.5508496655785393,-0.6591548966530825
1558.683,-0.08140716940392927,0.5586983190357158,-0.640105488439645
1559.165,-0.0547892519203606,0.5664244369107917,-0.6212136888311522
1559.647,-0.030476547402522067,0.5740283316691848,-0.6045048790717068
1560.13,-0.008701312021239298,0.581531159110048,-0.5902324711312873
1560.612,0.007895563146964466,0.5888912433543776,-0.5809956802074131
1561.094,0.02222479736999557,0.5961299530829008,-0.5739051557129052
1561.576,0.03528721342046697,0.6032475453249978,-0.5679603319045309
1562.058,0.04751335925116812,0.6102442652186624,-0.5627309059674943
1562.54,0.05496330134064585,0.6171203467404867,-0.5621570453998408
1563.022,0.06346547606203037,0.6238760134080248,-0.5604105373459944
1563.504,0.06855568191408536,0.6305114789557207,-0.5619557970416353
1563.987,0.07496796263391436,0.6370458294141728,-0.5620778667802584
1564.469,0.08612425691495752,0.6434412448410372,-0.5573169879260796
1564.951,0.09831970755498763,0.6497170467847113,-0.5513973392297237
1565.433,0.1149632816547811,0.65587341614771,-0.5409101344929289
1565.915,0.1326175385095676,0.6619105270718938,-0.5292929885623262
1566.397,0.15533201035992836,0.6678285474782767,-0.5124965371183483
1566.879,0.18020984955485758,0.673627639587624,-0.49341779003276637
1567.361,0.20697078703960062,0.6793079604220895,-0.47233717338248893
1567.844,0.2409818494874559,0.6848864843340036,-0.44390463484654763
1568.325,0.27344418431019024,0.6903128932485337,-0.4168687089383435
1568.808,0.30374382883857654,0.6956540937595797,-0.3919102649210031
1569.29,0.3350043632188552,0.7008605478999488,-0.3658561846810936
1569.772,0.3688120654575538,0.7017907181827389,-0.33297865272518506
1570.254,0.39948952186290615,0.7025992808533286,-0.3031097589904224
1570.736,0.42935963061121846,0.7032910779459278,-0.27393144733470937
1571.218,0.4608372173497539,0.7038708388444983,-0.2430336214947444
1571.7,0.4895039160545139,0.7043432049744441,-0.21483928891993026
1572.182,0.5178944178257843,0.7047126598795826,-0.18681824205379838
1572.665,0.5483186831215822,0.7049971731486886,-0.15667849002710643
1573.147,0.570705759521362,0.7051735443175946,-0.13446778479623256
1573.629,0.594072164784411,0.7052597413035486,-0.11118757651913758
1574.111,0.6157890484678256,0.7052599646891151,-0.08947091622128955
1574.593,0.6398007814824046,0.7051781799512991,-0.06537739846889445
1575.075,0.6608025234808351,0.7050182494336876,-0.0442157259528525
1575.557,0.6845720604993071,0.7047839705994955,-0.020211910100188413
1576.039,0.7084400057634715,0.7044789714780152,0.003961034285456355
1576.521,0.7323735591474565,0.7041068172315669,0.028266741915889626
1577.004,0.7557537951159949,0.7036816508595348,0.05207214425646012
1577.486,0.7778420696553616,0.70318520036149,0.07465686929387161
1577.968,0.7972084007596625,0.7026316164567113,0.09457678430295113
1578.45,0.8116160913360516,0.7020242246480015,0.1095918666880501
1578.932,0.8252819049378561,0.7013661408682619,0.12391576406959426
1579.414,0.8353767007632238,0.7006604445897843,0.13471625617343952
1579.896,0.844015498386496,0.6999099992734651,0.14410549911303094
1580.378,0.8518863145682497,0.6991177743561783,0.15276854021207142
1580.861,0.8571584455507412,0.6982948456688125,0.15886359988192866
1581.343,0.8620906935084167,0.6974270256803874,0.16466366782802933
1581.825,0.8669038680815112,0.6965254653114353,0.17037840277007588
1582.307,0.87272159271833,0.6955928787343304,0.17712871398399965
1582.789,0.878954189504684,0.6946317976829726,0.1843223918217114
1583.271,0.8857406423830525,0.6936446930552453,0.19209594932780716
1583.753,0.8915498177629924,0.692633977652352,0.19891584011064034
1584.235,0.8977896511642496,0.6916020638619175,0.2061875873023321
1584.718,0.9030272427989215,0.6905573566561223,0.21246988614279927
1585.2,0.9094307212355905,0.6894895463641192,0.21994117487147136
1585.682,0.9126573616249588,0.6884071478808951,0.22425021374406373
1586.164,0.9169427594765246,0.6873125438546119,0.22963021562191266
1586.646,0.9202978688319714,0.6862595778084783,0.23403829102349305
1587.128,0.9238832234188465,0.6852973285784266,0.23858589484041992
1587.61,0.925936284110026,0.6844224413833747,0.24151384272665133
1588.092,0.9249167666681094,0.6836318189465305,0.24128494772157894
1588.574,0.9238935808500779,0.6829226674381159,0.24097091341196197
1589.057,0.9232339360405721,0.6822962126319104,0.2409377234086617
1589.539,0.9234398071747336,0.6817419826076521,0.24169782456708155
1590.021,0.9219420514838158,0.6812619211903153,0.24068013029350055
1590.503,0.9181104492839609,0.6808541168267646,0.23725633245719635
1590.985,0.9169139109606922,0.680516636192671,0.2363972747680212
1591.467,0.9148664121432861,0.6802478287865714,0.2346185833567147
1591.949,0.9151888574328754,0.680046213906611,0.23514264352626435
1592.431,0.9161166359951324,0.6799105412800629,0.23620609471506948
1592.914,0.9162027195786533,0.67984163886347,0.23636108071518325
1593.396,0.9150487440253606,0.67983416914626,0.23521457487910058
1593.878,0.9142811391217096,0.6798895544142914,0.23439158470741817
1594.36,0.9146138951666006,0.6800070820120926,0.23460681315450804
1594.842,0.9128489095768586,0.680186279653427,0.23266262992343156
1595.324,0.9107455330613952,0.6804266152061487,0.2303189178552465
1595.806,0.9084723112769192,0.6807277967047751,0.22774451457214406
1596.288,0.905516444433877,0.6810897423249939,0.22442670210888316
1596.771,0.9015092348123762,0.6815125985032058,0.21999663630917043
1597.252,0.8961540388983115,0.6819957802049317,0.2141582586933798
1597.735,0.8916135327059355,0.682540024651466,0.20907350805446945
1598.217,0.8883802523532274,0.6831457044193103,0.20523454793391704
1598.699,0.8854217676393171,0.6838134556851662,0.20160831195415096
1599.181,0.8821021709702801,0.6845438533525992,0.19755831761768095
1599.663,0.8784735841481884,0.6853377168516392,0.1931358672965492
1600.145,0.8747707983047592,0.6861960136753106,0.18857478462944866
1600.627,0.8710040602757514,0.6871199440281759,0.1838841162475755
1601.109,0.8688991110469897,0.6881107077835315,0.18078840326345824
1601.592,0.8676181593200076,0.6891676604543118,0.17845049886569586
1602.074,0.8647553627996013,0.6902963365084334,0.17445902629116794
1602.556,0.8626236968455199,0.691496768879016,0.17112692796650386
1603.038,0.861874109718047,0.6927708244217987,0.1691032852962483
1603.52,0.8616641538522738,0.6941206610481012,0.16754349280417258
1604.002,0.8585067011994842,0.6955486384831059,0.16295806271637836
1604.484,0.8523090058604472,0.6970574176617585,0.15525158819868867
1604.966,0.8471647660570414,0.6986180291280921,0.14854673692894926
1605.448,0.8416587764144445,0.7001763435474757,0.14148243286696882
1605.931,0.8361295467129046,0.7017257380893829,0.13440380862352175
1606.413,0.8303655672763688,0.7032722489017951,0.12709331837457372
1606.895,0.8249499833415264,0.7048094999342615,0.12014048340726491
1607.377,0.8197616816651296,0.7063349235991538,0.1134267580659758
1607.859,0.8139424829939151,0.7078459874525714,0.1060964955413437
1608.341,0.8078516220368924,0.7093399934887785,0.0985116285481139
1608.823,0.8015651222944971,0.7108144596163448,0.09075066267815224
1609.305,0.7958548762544867,0.7122664442849539,0.0835884319695328
1609.788,0.7877410449032153,0.7136867060332527,0.0740543388699626
1610.27,0.7797806057709326,0.7150850593372332,0.06469554643369935
1610.752,0.7751885607480329,0.7164523778852706,0.058736182862762276
