wavenumber_cm1,reflectance_raw,reflectance_cleaned,reflectance_smoothed,baseline,detrended,envelope,normalized,is_hampel_outlier,in_primary_modeling_range
400.1569,36.33668088,36.33668088,36.40617183741013,43.05464590610301,-6.6484740686928845,14.554048852229394,-0.29128830976107223,0,0
400.639,35.75208839,35.75208839,35.77096905151516,43.03593377785382,-7.264964726338661,14.570505239509679,-0.32902193501127636,0,0
401.1211,35.17191157,35.17191157,35.17235852795666,43.017230071266,-7.844871543309338,14.586463597053019,-0.3644227228979441,0,0
401.6032,34.66914948,34.66914948,34.61054721342049,42.99853478460534,-8.387987571184851,14.601923924859415,-0.3974891488192988,0,0
402.0853,34.16395455,34.16395455,34.08574205459249,42.97984791613769,-8.894105861545206,14.61688622292887,-0.4282192175064245,0,0
402.5674,33.66441452,33.66441452,33.59814999815852,42.961169464128886,-9.363019465970368,14.63135049126138,-0.45661046483076906,0,0
403.0496,33.18689656,33.18689656,33.14797799080443,42.94249555506924,-9.794517564264815,14.645316729856948,-0.48265972068103746,0,0
403.5317,32.75816133,32.75816133,32.73543297921607,42.923833932520495,-10.188400953304424,14.658784938715572,-0.5063640653202897,0,0
404.0138,32.34577842,32.34577842,32.36072191007929,42.90518072122771,-10.544458811148417,14.671755117837252,-0.5277193973804625,0,0
404.4959,31.96162086,31.96162086,32.024051730079954,42.88653591945669,-10.862484189376737,14.684227267221988,-0.5467213904030721,0,0
404.978,31.63395866,31.63395866,31.725629385903478,42.86789952547331,-11.142270139569835,14.696201386869783,-0.5633652544053569,0,0
405.4601,31.37190437,31.37190437,31.479964440486675,42.84927153754339,-11.369307097056712,14.707677476780633,-0.5767677729035349,0,0
405.9423,31.1776061,31.1776061,31.279340925194102,42.83064809262156,-11.551307167427456,14.718655536954541,-0.5874109411955352,0,0
406.4244,31.02114298,31.02114298,31.11942913998325,42.81203691333876,-11.692607773355508,14.729135567391506,-0.5955678727355168,0,0
406.9065,30.92106002,30.92106002,31.001137037551082,42.793434134906526,-11.792297097355444,14.739117568091526,-0.6011888454427115,0,0
407.3886,30.86320223,30.86320223,30.917438179211757,42.774839755590705,-11.857401576378948,14.748601539054603,-0.6047096974904803,0,0
407.8707,30.84838766,30.84838766,30.85770057672402,42.75625377365712,-11.8985531969331,14.757587480280737,-0.6067852694646422,0,0
408.3528,30.83783751,30.83783751,30.81233366296135,42.7376761873716,-11.925342524410247,14.766075391769927,-0.6080047966707343,0,0
408.835,30.80409423,30.80409423,30.77144416429512,42.71910314414017,-11.947658979845052,14.774065273522174,-0.6089742102105012,0,0
409.3171,30.79647366,30.79647366,30.726174104007445,42.700542345688845,-11.9743682416814,14.781557125537478,-0.6102355115475758,0,0
409.7992,30.75698439,30.75698439,30.662175595514476,42.68198993768271,-12.019814342168232,14.788550947815839,-0.6126640749542006,0,0
410.2813,30.65850876,30.65850876,30.572497710058446,42.66344591838759,-12.090948208329142,14.795046740357257,-0.6166826519599437,0,0
410.7634,30.55157477,30.55157477,30.453044016563837,42.64491028606933,-12.191866269505496,14.80104450316173,-0.6225394270572792,0,0
411.2455,30.40872343,30.40872343,30.302952483419023,42.62638303899376,-12.323430555574735,14.80654423622926,-0.630285319620054,0,0
411.7277,30.20916427,30.20916427,30.118962407103233,42.6078603350053,-12.488897927902066,14.81154593955985,-0.6401175264519287,0,0
412.2098,29.96094156,29.96094156,29.900962596469046,42.589349854950974,-12.688387258481928,14.816049613153494,-0.6520421696824499,0,0
412.6919,29.69520588,29.69520588,29.65464453932946,42.570847754936466,-12.916203215607005,14.820055257010194,-0.665711588058851,0,0
413.174,29.39879051,29.39879051,29.38585446934254,42.55235403322759,-13.166499563885047,14.823562871129951,-0.6807696804112938,0,0
413.6561,29.1043963,29.1043963,29.09769695236314,42.53386868809018,-13.43617173572704,14.826572455512766,-0.6970279335155711,0,0
414.1382,28.76449829,28.76449829,28.799047542019892,42.51539171779007,-13.716344175770175,14.829084010158637,-0.7139468909967643,0,0
414.6204,28.47432944,28.47432944,28.5000587245436,42.49691929059715,-13.996860566053549,14.831097535067563,-0.7309096661275549,0,0
415.1025,28.18956557,28.18956557,28.2054470973844,42.478459066505366,-14.273011969120965,14.832613030239548,-0.7476313272504497,0,0
415.5846,27.90935117,27.90935117,27.925396308705096,42.460007212048,-14.534610903342902,14.833630495674589,-0.7634935858739385,0,0
416.0667,27.62343464,27.62343464,27.667154392811018,42.441563725490894,-14.774409332679877,14.834149931372686,-0.7780570904679756,0,0
416.5488,27.36989328,27.36989328,27.433569756861363,42.42312860509986,-14.989558848238499,14.83417133733384,-0.7911500862375468,0,0
417.0309,27.1711068,27.1711068,27.2290207527816,42.40470184914074,-15.175681096359142,14.833694713558051,-0.8025074171653933,0,0
417.5131,26.97443802,26.97443802,27.051242829832926,42.38627963629595,-15.335036806463027,14.83272006004532,-0.8122676644916098,0,0
417.9952,26.81378475,26.81378475,26.903493600029066,42.36786960573223,-15.464376005703166,14.831247376795643,-0.8202336598125065,0,0
418.4773,26.73267545,26.73267545,26.778809298982978,42.34946793439755,-15.570658635414574,14.829276663809024,-0.8268294025143774,0,0
418.9594,26.63914367,26.63914367,26.678436814746302,42.33107462055774,-15.652637805811441,14.826807921085463,-0.8319790857600708,0,0
419.4415,26.57157117,26.57157117,26.595015519538716,42.312689662478626,-15.71767414293991,14.823841148624956,-0.8361307960415507,0,0
419.9236,26.56908592,26.56908592,26.52645733877049,42.29431305842603,-15.767855719655536,14.820376346427507,-0.8394115538330771,0,0
420.4058,26.50835298,26.50835298,26.469253967626333,42.27594099748193,-15.806687029855599,14.816413514493115,-0.8420346228681349,0,0
420.8879,26.44924819,26.44924819,26.41924958452074,42.25758109801181,-15.838331513491074,14.811952652821779,-0.8442535126000519,0,0
421.37,26.4191652,26.4191652,26.368551847868243,42.23922954736534,-15.870677699497097,14.8069937614135,-0.846549069484062,0,0
421.8521,26.3463497,26.3463497,26.312803914161144,42.22088634380834,-15.908082429647195,14.801536840268279,-0.8491873502667181,0,0
422.3342,26.29414781,26.29414781,26.251214342899296,42.20255148560666,-15.951337142707366,14.795581889386112,-0.8522172942531981,0,0
422.8163,26.18536545,26.18536545,26.17813077165706,42.18422497102611,-16.006094199369052,14.789128908767003,-0.8559847387890523,0,0
423.2985,26.12692561,26.12692561,26.094374898407636,42.165902999535305,-16.07152810112767,14.782177898410952,-0.8604406128254652,0,0
423.7806,26.02288613,26.02288613,26.001417691317087,42.1475931687243,-16.146175477407212,14.774728858317955,-0.8654969175559882,0,0
424.2627,25.91262838,25.91262838,25.89909332969237,42.12929167633156,-16.23019834663919,14.766781788488016,-0.8711649788899472,0,0
424.7448,25.81035316,25.81035316,25.78946479416115,42.11099852062293,-16.321533726461777,14.758336688921135,-0.8773201578170934,0,0
425.2269,25.6943751,25.6943751,25.67842913271297,42.092713699864206,-16.414284567151235,14.749393559617308,-0.8836029491492029,0,0
425.709,25.55993104,25.55993104,25.56690863513533,42.074437212321236,-16.507528577185905,14.73995240057654,-0.8899577312869146,0,0
426.1912,25.44024691,25.44024691,25.457426338986263,42.05616526783629,-16.59873892885003,14.730013211798829,-0.8962304136025612,0,0
426.6733,25.32937529,25.32937529,25.354006085063414,42.03790544324994,-16.683899358186526,14.719575993284172,-0.9021751281903666,0,0
427.1554,25.21660414,25.21660414,25.25599700764923,42.01965394667646,-16.763656939027232,14.708640745032573,-0.9078314986332462,0,0
427.6375,25.1313566,25.1313566,25.16564078824093,42.00141077638169,-16.83576998814076,14.69720746704403,-0.9130617530145579,0,0
428.1196,25.02421612,25.02421612,25.078952832386076,41.983175930631475,-16.9042230982454,14.685276159318546,-0.9181103947601955,0,0
428.6017,24.95936679,24.95936679,24.999653601268065,41.96494940769163,-16.965295806423562,14.672846821856117,-0.9227485728937135,0,0
429.0839,24.89151203,24.89151203,24.922541924007522,41.94672742776509,-17.02418550375757,14.659919454656745,-0.9272957962841001,0,0
429.566,24.83175571,24.83175571,24.845923676544295,41.92851754696893,-17.08259387042464,14.64649405772043,-0.9318571816178588,0,0
430.0481,24.79512009,24.79512009,24.765389617286374,41.91031598378025,-17.144926366493877,14.632570631047171,-0.9367050500050533,0,0
430.5302,24.72769102,24.72769102,24.68000114347467,41.8921227364649,-17.21212159299023,14.618149174636969,-0.9418986842475178,0,0
431.0123,24.64319181,24.64319181,24.586562071245186,41.8739378032887,-17.28737573204351,14.603229688489824,-0.9476372403974279,0,0
431.4944,24.5509922,24.5509922,24.48401598763943,41.85576118251747,-17.371745194878038,14.587812172605735,-0.9539883585725061,0,0
431.9766,24.43562816,24.43562816,24.36910346229455,41.83758910470196,-17.468485642407412,14.571896626984703,-0.9611563445919467,0,0
432.4587,24.30962328,24.30962328,24.24750935189573,41.8194291052615,-17.57191975336577,14.555483051626728,-0.9687924685746822,0,0
432.9408,24.17020436,24.17020436,24.12144736015987,41.801277413023136,-17.679830052863267,14.538571446531808,-0.9767613982594612,0,0
433.4229,24.0109265,24.0109265,23.993001547547905,41.783134026252725,-17.79013247870482,14.521161811699947,-0.9849355434132915,0,0
433.905,23.86114872,23.86114872,23.868326588404397,41.76499894321607,-17.896672354811674,14.503254147131141,-0.9929333563990635,0,0
434.3871,23.70220512,23.70220512,23.7517166155211,41.74687216217902,-17.995155546657916,14.484848452825393,-1.000487358532348,0,0
434.8693,23.59898748,23.59898748,23.64707644027102,41.7287499240271,-18.081673483756077,14.4659447287827,-1.007352699840623,0,0
