scenario,group,tier,thickness_um,success,error,sic_10deg_um,sic_15deg_um,reference_um,signed_change_um,relative_change_pct
baseline,reference,core,7.4762575780931755,True,,7.489698365539103,7.457276324951839,7.4762575780931755,0.0,0.0
n_scale_minus_0p5pct,refractive_index,core,7.514477717057484,True,,7.527496582129846,7.495111490649779,7.4762575780931755,0.038220138964308425,0.5112202002817632
n_scale_plus_0p5pct,refractive_index,core,7.438814221092305,True,,7.452287692500763,7.419822998069979,7.4762575780931755,-0.037443357000870314,-0.5008302163182059
n_scale_minus_1pct,refractive_index,stress,7.552689194831164,True,,7.565679078455661,7.533334408797132,7.4762575780931755,0.07643161673798815,1.02232455128281
n_scale_plus_1pct,refractive_index,stress,7.401745274035984,True,,7.415240739934433,7.382745735713696,7.4762575780931755,-0.07451230405719134,-0.9966524464797233
angle_minus_0p2deg,angle,core,7.475503526123397,True,,7.489081981608137,7.456352244919403,7.4762575780931755,-0.000754051969778402,-0.01008595493001625
angle_plus_0p2deg,angle,core,7.477417937796986,True,,7.490336111502856,7.4582119818899715,7.4762575780931755,0.001160359703810343,0.01552059558796386
sg_window_11,preprocessing,core,7.476652228741726,True,,7.489579594654774,7.454861431371982,7.4762575780931755,0.0003946506485501544,0.005278719257968775
sg_window_31,preprocessing,core,7.4762575780931755,True,,7.490103744000198,7.457449358466548,7.4762575780931755,0.0,0.0
sg_window_41,preprocessing,core,7.4762575780931755,True,,7.490523914998582,7.457342626371819,7.4762575780931755,0.0,0.0
baseline_degree_2,preprocessing,core,7.472274452832128,True,,7.490983820474813,7.456714408994098,7.4762575780931755,-0.003983125261047604,-0.05327699346152682
baseline_degree_4,preprocessing,core,7.473857869698677,True,,7.487017062877849,7.453691688748729,7.4762575780931755,-0.0023997083944982123,-0.03209772228193159
envelope_window_201,preprocessing,core,7.481933885954122,True,,7.4956061348521175,7.468188894046434,7.4762575780931755,0.00567630786094675,0.07592445554015403
envelope_window_401,preprocessing,core,7.468045128565333,True,,7.4880335887676415,7.450360703766447,7.4762575780931755,-0.008212449527842836,-0.10984706508650582
peak_prominence_0p18,peak_detection,core,7.4762575780931755,True,,7.489698365539103,7.457276324951839,7.4762575780931755,0.0,0.0
peak_prominence_0p32,peak_detection,core,7.4762575780931755,True,,7.489698365539103,7.457276324951839,7.4762575780931755,0.0,0.0
fit_band_1400_3900,fit_band,stress,7.445709976552251,True,,7.464866566258141,7.435245122510287,7.4762575780931755,-0.030547601540924063,-0.4085948246410639
fit_band_1600_3900,fit_band,stress,7.466696065131941,True,,7.490907235945456,7.452548261064211,7.4762575780931755,-0.009561512961234087,-0.12789170064513425
fit_band_1800_3800,fit_band,stress,7.475571400872105,True,,7.476199816140741,7.454687681828366,7.4762575780931755,-0.0006861772210706718,-0.00917808427416009
fit_band_2000_3800,fit_band,stress,7.47780948812137,True,,7.505382332808724,7.469725982514926,7.4762575780931755,0.0015519100281942144,0.020757845913998457
