scenario,group,tier,thickness_um,success,error,si_10deg_um,si_15deg_um,reference_um,signed_change_um,relative_change_pct
baseline,reference,core,3.472012799276393,True,,3.476657854757861,3.4673677437949255,3.472012799276393,0.0,0.0
n_scale_minus_0p5pct,refractive_index,core,3.4895326499221095,True,,3.4941735235498226,3.4848917762943965,3.472012799276393,0.017519850645716595,0.5046021330730097
n_scale_plus_0p5pct,refractive_index,core,3.454668351423309,True,,3.4593171382991104,3.450019564547508,3.472012799276393,-0.017344447853083977,-0.4995502279455524
n_scale_minus_1pct,refractive_index,stress,3.5072305811374895,True,,3.5118668066766436,3.5025943555983354,3.472012799276393,0.035217781861096586,1.0143332959036433
n_scale_plus_1pct,refractive_index,stress,3.4374966778741074,True,,3.4421487600564595,3.432844595691755,3.472012799276393,-0.03451612140228555,-0.9941242558057131
angle_minus_0p2deg,angle,core,3.4717976827657417,True,,3.476483512516104,3.4671118530153793,3.472012799276393,-0.00021511651065120319,-0.006195729194778197
angle_plus_0p2deg,angle,core,3.472231204243422,True,,3.4768356009794648,3.4676268075073793,3.472012799276393,0.0002184049670290733,0.006290442450978043
sg_window_11,preprocessing,core,3.472012799276393,True,,3.476657854757861,3.4673677437949255,3.472012799276393,0.0,0.0
sg_window_31,preprocessing,core,3.472012799276393,True,,3.476657854757861,3.4673677437949255,3.472012799276393,0.0,0.0
sg_window_41,preprocessing,core,3.472012799276393,True,,3.476657854757861,3.4673677437949255,3.472012799276393,0.0,0.0
baseline_degree_2,preprocessing,core,3.496075080723693,True,,3.5049178187141616,3.4872323427332237,3.472012799276393,0.024062281447299938,0.693035505292918
baseline_degree_4,preprocessing,core,3.455624964848678,True,,3.4588470494492576,3.4524028802480986,3.472012799276393,-0.016387834427714854,-0.47199809952112687
envelope_window_201,preprocessing,core,3.47388397310803,True,,3.4790127805788456,3.4687551656372144,3.472012799276393,0.0018711738316370408,0.05389305684665145
envelope_window_401,preprocessing,core,3.469089190909542,True,,3.4734134600120288,3.4647649218070544,3.472012799276393,-0.002923608366851127,-0.08420499968952996
peak_prominence_0p18,peak_detection,core,3.472012799276393,True,,3.476657854757861,3.4673677437949255,3.472012799276393,0.0,0.0
peak_prominence_0p32,peak_detection,core,3.472012799276393,True,,3.476657854757861,3.4673677437949255,3.472012799276393,0.0,0.0
fit_band_550_3300,fit_band,stress,3.5664591936022587,True,,3.5730638071354015,3.5598545800691155,3.472012799276393,0.09444639432586577,2.7202202234262924
fit_band_650_3300,fit_band,stress,3.5568543583739523,True,,3.569263737418548,3.544444979329357,3.472012799276393,0.0848415590975593,2.4435842838840127
fit_band_750_3200,fit_band,stress,3.490416801056901,True,,3.505992415409606,3.474841186704196,3.472012799276393,0.01840400178050805,0.530067221651477
fit_band_800_3000,fit_band,stress,3.428795070791332,True,,3.4515554782465,3.4060346633361633,3.472012799276393,-0.043217728485061,-1.2447456557207413
